127.0.0.1 - - [16/Apr/2023:00:50:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/JiSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/ziehharmonika.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/services.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /Khajina_Doctor/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:50:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:26 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:31 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:33 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:34 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:36 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:57:36 +0530] "GET /Khajina_Doctor/images/g4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:15 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:19 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:21 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:23 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:24 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:55 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:58:59 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:59:01 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:59:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:59:03 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [16/Apr/2023:00:59:05 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:02:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:02:09 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:02:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:05:30 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:08:20 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:08:23 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:08:26 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:08:39 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:08:41 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:13 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:18 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:19 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:20 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:21 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:12:23 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
