127.0.0.1 - - [10/May/2023:11:24:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:50 +0530] "GET /Khajina_Doctor/index.jsp HTTP/1.1" 200 36017
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/ziehharmonika.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/JiSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/css/services.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/JiSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/ziehharmonika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:24:51 +0530] "GET /Khajina_Doctor/images/about.jpg HTTP/1.1" 304 -
